URL,Title,H1,Description,Status
https://openai.com/chatgpt,,,,403
https://www.anthropic.com,Home \ Anthropic,AI research and products that put safety at the frontier,"Anthropic is an AI safety and research company that's working to build reliable, interpretable, and steerable AI systems.",200
https://gemini.google.com,‎Google Gemini,,"Meet Gemini, Google’s AI assistant. Get help with writing, planning, brainstorming, and more. Experience the power of generative AI.",200
https://cursor.com,Cursor: AI coding agent,Cursor is your coding agent for building ambitious software.,"Built to make you extraordinarily productive, Cursor is the best AI coding agent.",200
https://www.perplexity.ai,Just a moment...,,,403
